currency;code;bid;ask
dolar amerykañski;USD;3.6769;3.7511
dolar australijski;AUD;2.6386;2.692
dolar kanadyjski;CAD;2.787;2.8434
euro;EUR;4.3483;4.4361
forint (Wêgry);HUF;0.012389;0.012639
frank szwajcarski;CHF;4.044;4.1256
funt szterling;GBP;4.8111;4.9083
jen (Japonia);JPY;0.034756;0.035458
korona czeska;CZK;0.1668;0.1702
korona duñska;DKK;0.5843;0.5961
korona norweska;NOK;0.4088;0.417
korona szwedzka;SEK;0.419;0.4274
SDR (MFW);XDR;5.2154;5.3208
